bus_id,gpsX,gpsY,address_1,address_2
146,127.064415,37.54277,광진구,화양동
146,127.06516,37.544098,광진구,화양동
146,127.065186,37.54414,광진구,화양동
146,127.06522,37.544205,광진구,화양동
146,127.06599,37.545547,광진구,화양동
146,127.06601,37.54559,광진구,화양동
146,127.06601,37.54559,광진구,화양동
146,127.06605,37.545654,광진구,화양동
146,127.066216,37.545956,광진구,화양동
146,127.066216,37.545956,광진구,화양동
146,127.067505,37.54824,광진구,화양동
146,127.067535,37.548294,광진구,화양동
146,127.067535,37.548294,광진구,화양동
146,127.06758,37.54837,광진구,군자동
146,127.068275,37.549587,광진구,군자동
146,127.0683,37.54963,광진구,군자동
146,127.0683,37.54963,광진구,군자동
146,127.06834,37.54969,광진구,군자동
146,127.06883,37.550556,광진구,군자동
146,127.06883,37.550556,광진구,군자동
146,127.068886,37.550625,광진구,군자동
146,127.06893,37.550713,광진구,군자동
146,127.069405,37.55159,광진구,군자동
146,127.06943,37.551632,광진구,군자동
146,127.069466,37.551697,광진구,군자동
146,127.069664,37.55207,광진구,군자동
146,127.069664,37.55207,광진구,군자동
146,127.070274,37.55318,광진구,군자동
146,127.07121,37.554848,광진구,군자동
146,127.071236,37.554893,광진구,군자동
146,127.071266,37.554955,광진구,군자동
146,127.07129,37.55499,광진구,군자동
146,127.072014,37.55626,광진구,군자동
146,127.07204,37.556297,광진구,군자동
146,127.07204,37.5563,광진구,군자동
146,127.072075,37.556366,광진구,군자동
146,127.07279,37.55762,광진구,군자동
146,127.07282,37.557663,광진구,군자동
146,127.07285,37.557728,광진구,군자동
146,127.073044,37.558056,광진구,군자동
146,127.073044,37.558056,광진구,군자동
146,127.0735,37.55887,광진구,군자동
146,127.0735,37.55887,광진구,군자동
146,127.07369,37.559216,광진구,군자동
146,127.07375,37.559322,광진구,군자동
146,127.07375,37.559322,광진구,군자동
146,127.07383,37.559444,광진구,중곡동
146,127.07389,37.55955,광진구,중곡동
146,127.07389,37.55955,광진구,중곡동
146,127.07416,37.559998,광진구,중곡동
146,127.07417,37.56003,광진구,중곡동
146,127.07417,37.56003,광진구,중곡동
146,127.074196,37.56007,광진구,중곡동
146,127.07436,37.560375,광진구,중곡동
146,127.07439,37.560406,광진구,중곡동
146,127.07438,37.560406,광진구,중곡동
146,127.07441,37.560455,광진구,중곡동
146,127.07474,37.560993,광진구,중곡동
146,127.07524,37.56184,광진구,중곡동
146,127.07526,37.561867,광진구,중곡동
146,127.07527,37.561886,광진구,중곡동
146,127.0753,37.561947,광진구,중곡동
146,127.07584,37.562912,광진구,중곡동
146,127.07587,37.562954,광진구,중곡동
146,127.075905,37.56302,광진구,중곡동
146,127.07653,37.564137,광진구,중곡동
146,127.07656,37.564186,광진구,중곡동
146,127.07656,37.564186,광진구,중곡동
146,127.07659,37.564236,광진구,중곡동
146,127.07692,37.564835,광진구,중곡동
146,127.07694,37.564877,광진구,중곡동
146,127.07698,37.56494,광진구,중곡동
146,127.07764,37.56612,광진구,중곡동
146,127.07766,37.566162,광진구,중곡동
146,127.07766,37.566162,광진구,중곡동
146,127.07768,37.566204,광진구,중곡동
146,127.07858,37.56782,광진구,중곡동
146,127.078606,37.567863,광진구,중곡동
146,127.07864,37.56793,광진구,중곡동
146,127.07953,37.56952,광진구,중곡동
146,127.07954,37.569523,광진구,중곡동
146,127.07955,37.56958,광진구,중곡동
146,127.07957,37.569637,광진구,중곡동
146,127.07996,37.57095,광진구,중곡동
146,127.08008,37.571636,광진구,중곡동
146,127.080086,37.57168,광진구,중곡동
146,127.080086,37.57168,광진구,중곡동
2012,127.08606,37.570858,광진구,중곡동
2012,127.08606,37.57082,광진구,중곡동
2012,127.08606,37.57082,광진구,중곡동
2012,127.08606,37.570805,광진구,중곡동
2012,127.08605,37.570164,광진구,중곡동
2012,127.08605,37.5701,광진구,중곡동
2012,127.08605,37.570045,광진구,중곡동
2012,127.08605,37.569973,광진구,중곡동
2012,127.086006,37.56935,광진구,중곡동
2012,127.08598,37.569065,광진구,중곡동
2012,127.08598,37.56902,광진구,중곡동
2012,127.08598,37.56902,광진구,중곡동
2012,127.08598,37.568848,광진구,중곡동
2012,127.08598,37.56856,광진구,중곡동
