bus_id,gpsX,gpsY,address_1,address_2,arsId,station_name
2222,127.0711714016,37.5345790942,광진구,자양동,104000119,자양고교앞
2222,127.0689474032,37.535233709,광진구,자양동,104000109,신양초등학교앞
2222,127.0690251258,37.5360770905,광진구,자양동,104000110,뚝도변전소앞
2222,127.0701692006,37.5385652456,광진구,자양동,104000111,광진문화예술회관
2222,127.0709898289,37.5401911408,광진구,화양동,104000304,건대입구(가상)
2222,127.071263851,37.5409809431,광진구,화양동,104000139,건대입구역사거리.건대병원
2222,127.0735881785,37.5459043941,광진구,화양동,104000141,어린이대공원역.화양천주교회
2222,127.0713618582,37.5480152246,광진구,군자동,104000157,광진광장
2222,127.0686841693,37.5483288986,광진구,군자동,104000293,화양사거리
2222,127.0715209148,37.5477151717,광진구,화양동,104000133,광진광장
2222,127.0736284938,37.5466216409,광진구,화양동,104000134,어린이대공원역.화양천주교회
2222,127.072222,37.543765,광진구,화양동,104000135,서울화양초등학교
2222,127.07095,37.540929,광진구,화양동,104000136,건대입구역사거리.건대병원
2222,127.0699257583,37.538919286,광진구,자양동,104000125,건대로데오거리입구
2222,127.068967,37.536419,광진구,자양동,104000121,대동아파트앞
2222,127.0692877009,37.5349118182,광진구,자양동,104000108,신양초등학교앞
2222,127.0713601174,37.53431586,광진구,자양동,104000120,자양고교앞
2222,127.0735184639,37.5336864713,광진구,자양동,104000117,자양우성아파트앞
2222,127.074922,37.530768,광진구,자양동,104000116,신자초등학교앞
2224,127.0628993085,37.5366067526,광진구,자양동,104000128,노룬산시장앞
2224,127.066874712,37.5355719112,광진구,자양동,104000107,국민은행신자양지점
2224,127.0690251258,37.5360770905,광진구,자양동,104000110,뚝도변전소앞
2224,127.0701692006,37.5385652456,광진구,자양동,104000111,광진문화예술회관
2224,127.0748753929,37.5384461141,광진구,자양동,104000112,건국대학교앞
2224,127.078796484,37.5374793895,광진구,자양동,104000086,자양초등학교앞
2224,127.0821044683,37.5367503042,광진구,자양동,104000084,자양사거리
2224,127.0882893582,37.5375186301,광진구,자양동,104000106,구의역3번출구
2224,127.090409,37.537998,광진구,구의동,104000065,광진우체국
2224,127.094195145,37.5366715418,광진구,구의동,104000279,테크노마트앞.강변역
2224,127.0879772581,37.5377026867,광진구,구의동,104000056,구의역2번출구
2224,127.0826036011,37.5368892729,광진구,자양동,104000083,자양사거리
2224,127.0786588147,37.5378444255,광진구,자양동,104000085,자양초등학교앞
2224,127.0749259086,37.538949007,광진구,화양동,104000087,건국대학교앞
2224,127.0699257583,37.538919286,광진구,자양동,104000125,건대로데오거리입구
2224,127.068967,37.536419,광진구,자양동,104000121,대동아파트앞
2224,127.0673127049,37.5356635743,광진구,자양동,104000122,국민은행신자양지점
2224,127.0629447386,37.5368058708,광진구,자양동,104000126,노룬산시장앞
2227,127.0860566161,37.5679159934,광진구,중곡동,104000038,용암사입구
2227,127.086708621,37.5639660286,광진구,중곡동,104000041,대원고교앞
2227,127.0870618595,37.5620725727,광진구,중곡동,104000023,중곡동종점
2227,127.0873831264,37.5599565687,광진구,중곡동,104000024,중곡보건지소
2227,127.0839868222,37.5614890896,광진구,중곡동,104000026,중곡우체국앞
2227,127.0808552636,37.5598837254,광진구,중곡동,104000019,중곡2동주민센터앞
2227,127.07882,37.556322,광진구,군자동,104000160,능동사거리.군자역
2227,127.0769927342,37.5528739948,광진구,군자동,104000159,능동교회앞
2227,127.07544,37.549752,광진구,군자동,104000158,어린이대공원앞.세종대학교
2227,127.0736284938,37.5466216409,광진구,화양동,104000134,어린이대공원역.화양천주교회
2227,127.072222,37.543765,광진구,화양동,104000135,서울화양초등학교
2227,127.0714727877,37.5421084758,광진구,화양동,104000170,건대병원입구
2227,127.0748753929,37.5384461141,광진구,자양동,104000112,건국대학교앞
2227,127.078796484,37.5374793895,광진구,자양동,104000086,자양초등학교앞
2227,127.0821044683,37.5367503042,광진구,자양동,104000084,자양사거리
2227,127.0882893582,37.5375186301,광진구,자양동,104000106,구의역3번출구
2227,127.092631647,37.53889735,광진구,구의동,104000302,구의3동주민센터
2227,127.0990747444,37.5420128524,광진구,광장동,104000074,광장동현대아파트앞
2227,127.1030692112,37.5434728132,광진구,광장동,104000075,광나루역.극동아파트
2227,127.1053745185,37.5459514944,광진구,광장동,104000269,광진청소년수련관
2227,127.1077984572,37.5468671731,광진구,광장동,104000307,광진구민체육센터
2227,127.1063923373,37.547556689,광진구,광장동,104000306,광나루우편취급국
2227,127.1030856662,37.543917039,광진구,광장동,104000076,광나루역.극동아파트
2227,127.0974629956,37.5417970295,광진구,광장동,104000073,광장동현대아파트앞
2227,127.0921595782,37.539356744,광진구,구의동,104000303,구의3동주민센터
2227,127.0879772581,37.5377026867,광진구,구의동,104000056,구의역2번출구
2227,127.0826036011,37.5368892729,광진구,자양동,104000083,자양사거리
2227,127.0786588147,37.5378444255,광진구,자양동,104000085,자양초등학교앞
2227,127.0749259086,37.538949007,광진구,화양동,104000087,건국대학교앞
